read,domain,e-value
M00595:42:000000000-A5J1T:1:2107:18573:4198;sample=PMRS0541.MID34-36.P2.apr13;size=1;,DBLa0.5,9.8e-57
M00595:42:000000000-A5J1T:1:1110:16201:17898;sample=PMRS0050.MID04-04.P2.apr13;size=1;,DBLa0.12,7.9e-53
M00595:42:000000000-A5J1T:1:2118:14421:24482;sample=PMRS0194.MID16-16.P2.apr13;size=1;,DBLa0.11,4.4e-55
M00595:42:000000000-A5J1T:1:1108:21904:19688;sample=PMRS0279.MID21-22.P2.apr13;size=2;,DBLa1.5,1.3e-52
M00595:42:000000000-A5J1T:1:2106:12734:21246;sample=PMRS0423.MID28-28.P2.apr13;size=1;,DBLa0.1,3.3e-56
M00595:42:000000000-A5J1T:1:1114:10526:18148;sample=PMRS0258.MID20-22.P1.apr13;size=1;,DBLa0.23,2.8e-50
M00595:42:000000000-A5J1T:1:2111:8062:11408;sample=PMRS0093.MID07-07.P2.apr13;size=1;,DBLa0.5,1.6e-49
M00595:42:000000000-A5J1T:1:1117:27491:10757;sample=PMRS0129.MID10-11.P1.apr13;size=1;,DBLa0.8,1.9e-54
M00595:42:000000000-A5J1T:1:1118:23360:11605;sample=PMRS0206.MID16-18.P2.apr13;size=1;,DBLa0.9,4.9e-51
M00595:42:000000000-A5J1T:1:2111:14809:16994;sample=PMRS0247.MID20-20.P1.apr13;size=2;,DBLa0.11,2e-55
M00595:42:000000000-A5J1T:1:1111:13037:9098;sample=PMRS0279.MID21-22.P2.apr13;size=1;,DBLa0.1,1.5e-60
M00595:42:000000000-A5J1T:1:1109:16323:16480;sample=PMRS0320.MID23-25.P1.apr13;size=1;,DBLa0.8,8.5e-50
M00595:42:000000000-A5J1T:1:2105:12940:20185;sample=PMRS0438.MID29-31.P1.apr13;size=1;,DBLa0.1,8.1e-52
M00595:42:000000000-A5J1T:1:1116:14988:12986;sample=PMRS0493.MID33-33.P1.apr13;size=3;,DBLa1.8,2.4e-60
M00595:42:000000000-A5J1T:1:1115:22305:17749;sample=PMRS0497.MID33-33.P2.apr13;size=1;,DBLa0.11,3.9e-59
M00595:42:000000000-A5J1T:1:1105:17329:2921;sample=PMRS0429.MID28-30.P2.apr13;size=1;,DBLa0.8,3.9e-53
M00595:42:000000000-A5J1T:1:1114:19280:5141;sample=PMRS0484.MID32-32.P2.apr13;size=1;,DBLa0.22,4.3e-47
M00595:42:000000000-A5J1T:1:2119:18333:14574;sample=PMRS0430.MID29-29.P1.apr13;size=3;,DBLa1.4,2.2e-44
M00595:42:000000000-A5J1T:1:1114:11972:18142;sample=PMRS0065.MID04-06.P2.apr13;size=1;,DBLa2,1.5e-46
M00595:42:000000000-A5J1T:1:1118:23337:13867;sample=PMRS0541.MID34-36.P2.apr13;size=1;,DBLa0.1,2.5e-48
M00595:42:000000000-A5J1T:1:1103:13303:6049;sample=PMRS0108.MID08-08.P2.apr13;size=1;,DBLa0.9,1.2e-41
M00595:42:000000000-A5J1T:1:2108:11135:10800;sample=PMRS0183.MID15-16.P1.apr13;size=1;,DBLa0.1,8.1e-57
M00595:42:000000000-A5J1T:1:1112:19643:8159;sample=PMRS0042.MID03-05.P1.apr13;size=2;,DBLa0.1,1.2e-60
M00595:42:000000000-A5J1T:1:2113:12021:11583;sample=PMRS0429.MID28-30.P2.apr13;size=1;,DBLa0.12,2.7e-53
M00595:42:000000000-A5J1T:1:1112:21812:9722;sample=PMRS0222.MID18-18.P1.apr13;size=2;,DBLa0.1,1e-59
M00595:42:000000000-A5J1T:1:2117:11694:5240;sample=PMRS0007.MID01-03.P2.apr13;size=1;,DBLa0.5,7e-57
M00595:42:000000000-A5J1T:1:1104:15762:17835;sample=PMRS0307.MID23-24.P1.apr13;size=1;,DBLa0.1,6.1e-58
M00595:42:000000000-A5J1T:1:2115:10191:18917;sample=PMRS0379.MID25-27.P2.apr13;size=1;,DBLa0.5,3.4e-56
M00595:42:000000000-A5J1T:1:2119:15324:6539;sample=PMRS0301.MID22-24.P1.apr13;size=1;,DBLa0.12,5.5e-47
M00595:42:000000000-A5J1T:1:1113:9623:22791;sample=PMRS0354.MID24-26.P2.apr13;size=1;,DBLa0.5,1.7e-60
M00595:42:000000000-A5J1T:1:2108:9095:7710;sample=PMRS0163.MID13-15.P1.apr13;size=1;,DBLa0.1,1.7e-46
M00595:42:000000000-A5J1T:1:2104:17777:2940;sample=PMRS0040.MID03-04.P2.apr13;size=1;,DBLa0.11,1.4e-55
M00595:42:000000000-A5J1T:1:2114:22710:7093;sample=PMRS0280.MID21-23.P1.apr13;size=2;,DBLa0.10,1.3e-54
M00595:42:000000000-A5J1T:1:1110:10495:10198;sample=PMRS0051.MID04-05.P1.apr13;size=2;,DBLa0.1,8.9e-58
M00595:42:000000000-A5J1T:1:2102:11074:21367;sample=PMRS0357.MID25-25.P1.apr13;size=1;,DBLa0.5,1.1e-53
M00595:42:000000000-A5J1T:1:2109:15008:16170;sample=PMRS0020.MID02-04.P1.apr13;size=2;,DBLa0.4,3.8e-42
M00595:42:000000000-A5J1T:1:1113:7623:19570;sample=PMRS0412.MID27-29.P2.apr13;size=1;,DBLa0.1,1.2e-54
M00595:42:000000000-A5J1T:1:1101:20529:15372;sample=PMRS0258.MID20-22.P1.apr13;size=1;,DBLa0.8,4.1e-44
M00595:42:000000000-A5J1T:1:2113:13059:15614;sample=PMRS0430.MID29-29.P1.apr13;size=1;,DBLa0.11,1.7e-58
M00595:42:000000000-A5J1T:1:1107:17871:22222;sample=PMRS0079.MID05-07.P2.apr13;size=8;,DBLa1.5,1.1e-46
M00595:42:000000000-A5J1T:1:1106:10141:7117;sample=PMRS0050.MID04-04.P2.apr13;size=1;,DBLa0.12,1.4e-54
M00595:42:000000000-A5J1T:1:2111:16248:4042;sample=PMRS0346.MID24-25.P1.apr13;size=1;,DBLa0.1,3.8e-61
M00595:42:000000000-A5J1T:1:2101:20466:2831;sample=PMRS0506.MID33-35.P2.apr13;size=1;,DBLa0.11,3.8e-44
M00595:42:000000000-A5J1T:1:2116:15629:16350;sample=PMRS0469.MID31-32.P1.apr13;size=3;,DBLa0.20,2.2e-56
M00595:42:000000000-A5J1T:1:1101:22394:6319;sample=PMRS0169.MID14-14.P2.apr13;size=2;,DBLa0.4,3.3e-55
M00595:42:000000000-A5J1T:1:2101:6052:20898;sample=PMRS0354.MID24-26.P2.apr13;size=1;,DBLa0.9,9.8e-56
M00595:42:000000000-A5J1T:1:2109:21279:23213;sample=PMRS0379.MID25-27.P2.apr13;size=1;,DBLa0.8,1.2e-52
M00595:42:000000000-A5J1T:1:2103:22667:12061;sample=PMRS0345.MID24-24.P2.apr13;size=1;,DBLa0.17,3.1e-58
M00595:42:000000000-A5J1T:1:1115:12517:10163;sample=PMRS0438.MID29-31.P1.apr13;size=1;,DBLa0.3,8.1e-47
M00595:42:000000000-A5J1T:1:1119:19078:21814;sample=PMRS0438.MID29-31.P1.apr13;size=1;,DBLa0.9,2.3e-53
M00595:42:000000000-A5J1T:1:1101:19472:20068;sample=PMRS0386.MID26-26.P2.apr13;size=1;,DBLa0.19,8.5e-60
M00595:42:000000000-A5J1T:1:1115:19768:4048;sample=PMRS0169.MID14-14.P2.apr13;size=1;,DBLa0.11,4.5e-56
M00595:42:000000000-A5J1T:1:1118:13812:6136;sample=PMRS0431.MID29-29.P2.apr13;size=1;,DBLa2,1.8e-34
M00595:42:000000000-A5J1T:1:1110:21743:11355;sample=PMRS0169.MID14-14.P2.apr13;size=2;,DBLa0.12,2.8e-57
M00595:42:000000000-A5J1T:1:2109:25088:6591;sample=PMRS0423.MID28-28.P2.apr13;size=5;,DBLa1.2,5e-57
M00595:42:000000000-A5J1T:1:1107:12005:8877;sample=PMRS0264.MID21-21.P1.apr13;size=4;,DBLa0.9,5.9e-51
M00595:42:000000000-A5J1T:1:1104:24873:12101;sample=PMRS0438.MID29-31.P1.apr13;size=1;,DBLa0.11,6.2e-55
M00595:42:000000000-A5J1T:1:2111:19300:16371;sample=PMRS0108.MID08-08.P2.apr13;size=1;,DBLa0.1,3.1e-57
M00595:42:000000000-A5J1T:1:1117:11378:6857;sample=PMRS0345.MID24-24.P2.apr13;size=1;,DBLa0.11,6.5e-46
M00595:42:000000000-A5J1T:1:1112:18766:18356;sample=PMRS0206.MID16-18.P2.apr13;size=3;,DBLa0.8,2e-53
M00595:42:000000000-A5J1T:1:1116:19181:16498;sample=PMRS0503.MID33-34.P2.apr13;size=1;,DBLa2,2.7e-48
M00595:42:000000000-A5J1T:1:2111:21518:15832;sample=PMRS0373.MID25-26.P1.apr13;size=1;,DBLa0.12,6.3e-56
M00595:42:000000000-A5J1T:1:2112:17911:15076;sample=PMRS0453.MID30-32.P2.apr13;size=1;,DBLa0.8,1.2e-53
M00595:42:000000000-A5J1T:1:2112:10904:10250;sample=PMRS0389.MID26-27.P1.apr13;size=1;,DBLa0.1,3.3e-54
M00595:42:000000000-A5J1T:1:2118:19805:10530;sample=PMRS0352.MID24-26.P1.apr13;size=1;,DBLa0.5,1.1e-51
M00595:42:000000000-A5J1T:1:2109:15310:9945;sample=PMRS0423.MID28-28.P2.apr13;size=1;,DBLa0.5,4.9e-62
M00595:42:000000000-A5J1T:1:2106:14853:7622;sample=PMRS0431.MID29-29.P2.apr13;size=3;,DBLa0.3,4e-46
M00595:42:000000000-A5J1T:1:2108:10092:5248;sample=PMRS0065.MID04-06.P2.apr13;size=2;,DBLa0.8,1.2e-52
M00595:42:000000000-A5J1T:1:2109:6590:5899;sample=PMRS0182.MID15-15.P2.apr13;size=1;,DBLa0.12,3.9e-54
M00595:42:000000000-A5J1T:1:2108:9877:10338;sample=PMRS0480.MID32-32.P1.apr13;size=1;,DBLa0.19,6.7e-57
M00595:42:000000000-A5J1T:1:2109:7687:3561;sample=PMRS0403.MID27-27.P2.apr13;size=1;,DBLa0.6,1.6e-48
M00595:42:000000000-A5J1T:1:1113:15365:15659;sample=PMRS0191.MID15-18.P1.apr13;size=17;,DBLa0.3,1.9e-50
M00595:42:000000000-A5J1T:1:2116:9007:20306;sample=PMRS0546.MID35-35.P2.apr13;size=2;,DBLa0.7,1.9e-49
M00595:42:000000000-A5J1T:1:1109:17524:13973;sample=PMRS0169.MID14-14.P2.apr13;size=1;,DBLa0.9,3.3e-55
M00595:42:000000000-A5J1T:1:1115:19930:6585;sample=PMRS0045.MID03-05.P2.apr13;size=1;,DBLa0.8,2.4e-56
M00595:42:000000000-A5J1T:1:1106:16872:16158;sample=PMRS0345.MID24-24.P2.apr13;size=1;,DBLa0.8,9.5e-54
M00595:42:000000000-A5J1T:1:2113:21605:21482;sample=PMRS0323.MID23-25.P2.apr13;size=1;,DBLa1.8,2.2e-32
M00595:42:000000000-A5J1T:1:2101:8467:14342;sample=PMRS0373.MID25-26.P1.apr13;size=2;,DBLa0.24,1.3e-42
M00595:42:000000000-A5J1T:1:1101:13994:13170;sample=PMRS0379.MID25-27.P2.apr13;size=1;,DBLa0.8,8e-52
M00595:42:000000000-A5J1T:1:1115:18105:7823;sample=PMRS0167.MID13-15.P2.apr13;size=1;,DBLa0.1,3.3e-58
M00595:42:000000000-A5J1T:1:2108:20134:21184;sample=PMRS0182.MID15-15.P2.apr13;size=8;,DBLa1.4,3.6e-45
M00595:42:000000000-A5J1T:1:2110:9218:20902;sample=PMRS0384.MID26-26.P1.apr13;size=1;,DBLa0.11,2e-63
M00595:42:000000000-A5J1T:1:1116:26157:14906;sample=PMRS0034.MID03-03.P2.apr13;size=1;,DBLa0.1,7.3e-50
M00595:42:000000000-A5J1T:1:1108:21462:18827;sample=PMRS0484.MID32-32.P2.apr13;size=1;,DBLa0.11,1.9e-58
M00595:42:000000000-A5J1T:1:2104:17607:2466;sample=PMRS0503.MID33-34.P2.apr13;size=1;,DBLa0.12,4e-44
M00595:42:000000000-A5J1T:1:2118:18413:21522;sample=PMRS0138.MID10-13.P2.apr13;size=2;,DBLa0.3,1.3e-51
M00595:42:000000000-A5J1T:1:1110:14943:10318;sample=PMRS0389.MID26-27.P1.apr13;size=1;,DBLa0.20,2.3e-57
M00595:42:000000000-A5J1T:1:1104:21562:4415;sample=PMRS0503.MID33-34.P2.apr13;size=1;,DBLa0.1,1e-52
M00595:42:000000000-A5J1T:1:1107:18500:8208;sample=PMRS0098.MID07-08.P1.apr13;size=1;,DBLa0.17,4.2e-50
M00595:42:000000000-A5J1T:1:1112:9967:15279;sample=PMRS0064.MID04-06.P1.apr13;size=2;,DBLa0.15,1.1e-51
M00595:42:000000000-A5J1T:1:1115:11529:17331;sample=PMRS0279.MID21-22.P2.apr13;size=1;,DBLa0.11,5.1e-61
M00595:42:000000000-A5J1T:1:1115:22073:8474;sample=PMRS0423.MID28-28.P2.apr13;size=1;,DBLa0.11,7.2e-61
M00595:42:000000000-A5J1T:1:2112:16504:19111;sample=PMRS0050.MID04-04.P2.apr13;size=1;,DBLa0.15,7.5e-53
M00595:42:000000000-A5J1T:1:1117:8006:22433;sample=PMRS0098.MID07-08.P1.apr13;size=1;,DBLa0.16,1e-44
M00595:42:000000000-A5J1T:1:1110:20831:12327;sample=PMRS0429.MID28-30.P2.apr13;size=1;,DBLa0.1,6.5e-58
M00595:42:000000000-A5J1T:1:1111:12641:11928;sample=PMRS0179.MID14-16.P1.apr13;size=2;,DBLa0.4,6.9e-47
M00595:42:000000000-A5J1T:1:1109:11405:3219;sample=PMRS0486.MID32-33.P2.apr13;size=1;,DBLa0.8,6.6e-55
M00595:42:000000000-A5J1T:1:1102:25847:17275;sample=PMRS0379.MID25-27.P2.apr13;size=1;,DBLa0.15,5.9e-56
M00595:42:000000000-A5J1T:1:2119:11035:18350;sample=PMRS0323.MID23-25.P2.apr13;size=1;,DBLa0.24,1.8e-44
M00595:42:000000000-A5J1T:1:2108:10589:18209;sample=PMRS0163.MID13-15.P1.apr13;size=1;,DBLa0.18,2.7e-48
M00595:42:000000000-A5J1T:1:1104:5330:13748;sample=PMRS0098.MID07-08.P1.apr13;size=1;,DBLa0.19,4.3e-55
M00595:42:000000000-A5J1T:1:1101:16157:8966;sample=PMRS0379.MID25-27.P2.apr13;size=1;,DBLa0.16,8e-52
M00595:42:000000000-A5J1T:1:1102:20412:19863;sample=PMRS0254.MID20-21.P1.apr13;size=1;,DBLa2,8.6e-48
M00595:42:000000000-A5J1T:1:1109:13330:18038;sample=PMRS0084.MID06-07.P1.apr13;size=1;,DBLa0.1,4.5e-60
M00595:42:000000000-A5J1T:1:1103:10432:18436;sample=PMRS0377.MID25-26.P2.apr13;size=2;,DBLa0.5,4e-56
M00595:42:000000000-A5J1T:1:1103:11611:19530;sample=PMRS0018.MID02-03.P2.apr13;size=3;,DBLa0.22,1.6e-57
M00595:42:000000000-A5J1T:1:2119:9544:7101;sample=PMRS0235.MID19-19.P1.apr13;size=1;,DBLa1.8,5.2e-54
M00595:42:000000000-A5J1T:1:1107:25778:12057;sample=PMRS0182.MID15-15.P2.apr13;size=1;,DBLa0.1,3e-53
M00595:42:000000000-A5J1T:1:1105:19542:12529;sample=PMRS0412.MID27-29.P2.apr13;size=1;,DBLa0.11,9.3e-55
M00595:42:000000000-A5J1T:1:2118:7277:6767;sample=PMRS0079.MID05-07.P2.apr13;size=9;,DBLa1.8,1e-58
M00595:42:000000000-A5J1T:1:2104:17569:7749;sample=PMRS0486.MID32-33.P2.apr13;size=1;,DBLa0.22,1e-53
M00595:42:000000000-A5J1T:1:2109:12892:7720;sample=PMRS0429.MID28-30.P2.apr13;size=1;,DBLa0.11,1.1e-51
M00595:42:000000000-A5J1T:1:1105:20653:2189;sample=PMRS0064.MID04-06.P1.apr13;size=1;,DBLa0.5,7.9e-57
M00595:42:000000000-A5J1T:1:1102:9029:12609;sample=PMRS0431.MID29-29.P2.apr13;size=1;,DBLa0.5,2.5e-56
M00595:42:000000000-A5J1T:1:1102:15599:14980;sample=PMRS0438.MID29-31.P1.apr13;size=1;,DBLa0.10,6.5e-56
M00595:42:000000000-A5J1T:1:1119:16706:11759;sample=PMRS0320.MID23-25.P1.apr13;size=1;,DBLa0.1,2.2e-33
M00595:42:000000000-A5J1T:1:1116:7768:20427;sample=PMRS0113.MID08-11.P1.apr13;size=1;,DBLa0.1,3.4e-53
M00595:42:000000000-A5J1T:1:2116:14306:20472;sample=PMRS0389.MID26-27.P1.apr13;size=1;,DBLa0.1,9.4e-56
M00595:42:000000000-A5J1T:1:2116:22686:11368;sample=PMRS0476.MID31-33.P2.apr13;size=3;,DBLa0.1,2.8e-59
M00595:42:000000000-A5J1T:1:1106:16323:7201;sample=PMRS0486.MID32-33.P2.apr13;size=1;,DBLa1.4,1.1e-51
M00595:42:000000000-A5J1T:1:2111:15381:1664;sample=PMRS0484.MID32-32.P2.apr13;size=4;,DBLa0.3,7.3e-49
M00595:42:000000000-A5J1T:1:2108:17966:5164;sample=PMRS0207.MID16-19.P1.apr13;size=1;,DBLa0.17,2.1e-51
M00595:42:000000000-A5J1T:1:2105:23539:7085;sample=PMRS0386.MID26-26.P2.apr13;size=1;,DBLa0.1,8.1e-60
M00595:42:000000000-A5J1T:1:2106:16454:21787;sample=PMRS0357.MID25-25.P1.apr13;size=4;,DBLa0.3,1.1e-45
M00595:42:000000000-A5J1T:1:1108:24539:14903;sample=PMRS0320.MID23-25.P1.apr13;size=1;,DBLa0.12,8.8e-51
M00595:42:000000000-A5J1T:1:2108:16046:9441;sample=PMRS0178.MID14-15.P1.apr13;size=1;,DBLa0.1,4.2e-58
M00595:42:000000000-A5J1T:1:2113:26136:13652;sample=PMRS0258.MID20-22.P1.apr13;size=2;,DBLa0.8,9.6e-53
M00595:42:000000000-A5J1T:1:1102:10833:19475;sample=PMRS0354.MID24-26.P2.apr13;size=1;,DBLa0.10,1.6e-55
M00595:42:000000000-A5J1T:1:1113:11553:4331;sample=PMRS0290.MID21-23.P2.apr13;size=1;,DBLa0.8,5.7e-53
M00595:42:000000000-A5J1T:1:2118:13665:16306;sample=PMRS0484.MID32-32.P2.apr13;size=4;,DBLa0.5,8.5e-55
M00595:42:000000000-A5J1T:1:1119:17737:18685;sample=PMRS0541.MID34-36.P2.apr13;size=1;,DBLa0.5,9.1e-53
M00595:42:000000000-A5J1T:1:1110:20206:20000;sample=PMRS0092.MID07-07.P1.apr13;size=1;,DBLa0.11,8e-55
M00595:42:000000000-A5J1T:1:2110:8986:17556;sample=PMRS0389.MID26-27.P1.apr13;size=2;,DBLa1.2,1.4e-53
M00595:42:000000000-A5J1T:1:1107:10622:13229;sample=PMRS0491.MID32-34.P2.apr13;size=2;,DBLa0.1,2.6e-57
M00595:42:000000000-A5J1T:1:1110:13517:24400;sample=PMRS0258.MID20-22.P1.apr13;size=4;,DBLa0.17,2.1e-57
M00595:42:000000000-A5J1T:1:2105:10420:23406;sample=PMRS0403.MID27-27.P2.apr13;size=1;,DBLa0.17,4.5e-53
M00595:42:000000000-A5J1T:1:1103:19922:11663;sample=PMRS0051.MID04-05.P1.apr13;size=1;,DBLa0.17,3e-53
M00595:42:000000000-A5J1T:1:2116:23950:13904;sample=PMRS0357.MID25-25.P1.apr13;size=2;,DBLa2,3.6e-49
M00595:42:000000000-A5J1T:1:1102:10652:16047;sample=PMRS0180.MID14-16.P2.apr13;size=1;,DBLa0.17,3.6e-56
M00595:42:000000000-A5J1T:1:1117:24218:16643;sample=PMRS0223.MID18-18.P2.apr13;size=1;,DBLa0.5,3.2e-62
M00595:42:000000000-A5J1T:1:1108:15105:9599;sample=PMRS0540.MID34-36.P1.apr13;size=1;,DBLa0.19,2.1e-52
M00595:42:000000000-A5J1T:1:2110:15346:13679;sample=PMRS0206.MID16-18.P2.apr13;size=1;,DBLa0.8,2.8e-52
M00595:42:000000000-A5J1T:1:2108:23750:7542;sample=PMRS0208.MID16-19.P2.apr13;size=1;,DBLa0.1,2.9e-55
M00595:42:000000000-A5J1T:1:1106:17635:20199;sample=PMRS0191.MID15-18.P1.apr13;size=1;,DBLa0.8,2.6e-54
M00595:42:000000000-A5J1T:1:2116:4965:15513;sample=PMRS0040.MID03-04.P2.apr13;size=5;,DBLa0.1,1.7e-55
M00595:42:000000000-A5J1T:1:1110:11092:3621;sample=PMRS0486.MID32-33.P2.apr13;size=1;,DBLa0.1,3.2e-56
M00595:42:000000000-A5J1T:1:2103:5709:19657;sample=PMRS0142.MID11-11.P1.apr13;size=1;,DBLa0.5,1.3e-56
M00595:42:000000000-A5J1T:1:2109:22266:15336;sample=PMRS0506.MID33-35.P2.apr13;size=1;,DBLa0.5,1.3e-50
M00595:42:000000000-A5J1T:1:1115:24394:8696;sample=PMRS0279.MID21-22.P2.apr13;size=1;,DBLa0.1,3.2e-52
M00595:42:000000000-A5J1T:1:2111:14559:6259;sample=PMRS0276.MID21-22.P1.apr13;size=1;,DBLa0.19,1.7e-45
M00595:42:000000000-A5J1T:1:1113:9667:11760;sample=PMRS0377.MID25-26.P2.apr13;size=2;,DBLa0.5,1.9e-54
M00595:42:000000000-A5J1T:1:1116:24410:11335;sample=PMRS0373.MID25-26.P1.apr13;size=1;,DBLa0.24,6e-55
M00595:42:000000000-A5J1T:1:1115:19010:4870;sample=PMRS0354.MID24-26.P2.apr13;size=1;,DBLa0.1,1.7e-52
M00595:42:000000000-A5J1T:1:1112:21070:5016;sample=PMRS0121.MID10-10.P2.apr13;size=2;,DBLa0.1,3.6e-60
M00595:42:000000000-A5J1T:1:1109:26048:14638;sample=PMRS0113.MID08-11.P1.apr13;size=2;,DBLa0.1,7.2e-57
M00595:42:000000000-A5J1T:1:1104:24162:13905;sample=PMRS0552.MID35-36.P1.apr13;size=1;,DBLa0.3,2.4e-46
M00595:42:000000000-A5J1T:1:2110:26058:9328;sample=PMRS0084.MID06-07.P1.apr13;size=1;,DBLa0.13,1.4e-52
M00595:42:000000000-A5J1T:1:2110:17192:5663;sample=PMRS0223.MID18-18.P2.apr13;size=1;,DBLa0.23,2.6e-47
M00595:42:000000000-A5J1T:1:1113:24660:6900;sample=PMRS0484.MID32-32.P2.apr13;size=1;,DBLa0.21,7.4e-61
M00595:42:000000000-A5J1T:1:2104:27834:14376;sample=PMRS0079.MID05-07.P2.apr13;size=1;,DBLa0.11,1.9e-53
M00595:42:000000000-A5J1T:1:2110:23867:6908;sample=PMRS0412.MID27-29.P2.apr13;size=1;,DBLa0.18,2.2e-53
M00595:42:000000000-A5J1T:1:1105:23469:15835;sample=PMRS0062.MID04-05.P2.apr13;size=1;,DBLa0.1,1.5e-53
M00595:42:000000000-A5J1T:1:2111:14861:3275;sample=PMRS0484.MID32-32.P2.apr13;size=1;,DBLa0.1,3e-49
M00595:42:000000000-A5J1T:1:2112:5773:12544;sample=PMRS0194.MID16-16.P2.apr13;size=1;,DBLa1.8,4.3e-57
M00595:42:000000000-A5J1T:1:2113:14452:12723;sample=PMRS0009.MID02-02.P1.apr13;size=1;,DBLa0.7,1.2e-50
M00595:42:000000000-A5J1T:1:1112:17482:4134;sample=PMRS0169.MID14-14.P2.apr13;size=1;,DBLa0.5,1.7e-55
M00595:42:000000000-A5J1T:1:1110:21622:16943;sample=PMRS0412.MID27-29.P2.apr13;size=3;,DBLa0.1,2.7e-51
M00595:42:000000000-A5J1T:1:1109:16113:19124;sample=PMRS0503.MID33-34.P2.apr13;size=1;,DBLa0.1,3.6e-59
M00595:42:000000000-A5J1T:1:2113:19917:9244;sample=PMRS0423.MID28-28.P2.apr13;size=1;,DBLa0.3,3.8e-54
M00595:42:000000000-A5J1T:1:2103:10674:9541;sample=PMRS0377.MID25-26.P2.apr13;size=1;,DBLa0.9,4.6e-52
M00595:42:000000000-A5J1T:1:2111:11395:5015;sample=PMRS0442.MID30-30.P1.apr13;size=1;,DBLa0.15,5.1e-53
M00595:42:000000000-A5J1T:1:2104:20948:23551;sample=PMRS0438.MID29-31.P1.apr13;size=1;,DBLa0.8,7.7e-51
M00595:42:000000000-A5J1T:1:2114:22677:7059;sample=PMRS0279.MID21-22.P2.apr13;size=2;,DBLa0.8,3.6e-50
M00595:42:000000000-A5J1T:1:1119:18019:6496;sample=PMRS0453.MID30-32.P2.apr13;size=1;,DBLa0.1,2.5e-57
M00595:42:000000000-A5J1T:1:2109:23827:17955;sample=PMRS0040.MID03-04.P2.apr13;size=1;,DBLa0.12,5.8e-50
M00595:42:000000000-A5J1T:1:2108:8635:1817;sample=PMRS0405.MID27-28.P2.apr13;size=2;,DBLa1.8,3.5e-55
M00595:42:000000000-A5J1T:1:2119:8293:11410;sample=PMRS0497.MID33-33.P2.apr13;size=1;,DBLa0.1,4.9e-34
M00595:42:000000000-A5J1T:1:2116:4832:18138;sample=PMRS0098.MID07-08.P1.apr13;size=1;,DBLa0.1,1.3e-58
M00595:42:000000000-A5J1T:1:2104:19191:13715;sample=PMRS0184.MID15-16.P2.apr13;size=1;,DBLa0.1,1.7e-56
M00595:42:000000000-A5J1T:1:1114:12214:13288;sample=PMRS0163.MID13-15.P1.apr13;size=1;,DBLa0.9,6e-57
M00595:42:000000000-A5J1T:1:1110:12473:7559;sample=PMRS0389.MID26-27.P1.apr13;size=1;,DBLa0.9,1.9e-52
M00595:42:000000000-A5J1T:1:2114:25170:13772;sample=PMRS0002.MID01-01.P1.apr13;size=1;,DBLa0.1,3.2e-56
M00595:42:000000000-A5J1T:1:2117:18363:9540;sample=PMRS0027.MID02-04.P2.apr13;size=1;,DBLa0.10,2.6e-57
M00595:42:000000000-A5J1T:1:1110:20793:14771;sample=PMRS0379.MID25-27.P2.apr13;size=1;,DBLa0.1,1.5e-52
M00595:42:000000000-A5J1T:1:2103:17645:21786;sample=PMRS0236.MID19-19.P2.apr13;size=1;,DBLa0.1,4.9e-54
M00595:42:000000000-A5J1T:1:1102:14364:16589;sample=PMRS0354.MID24-26.P2.apr13;size=2;,DBLa1.8,6.6e-56
M00595:42:000000000-A5J1T:1:1114:11935:2288;sample=PMRS0040.MID03-04.P2.apr13;size=1;,DBLa0.19,9e-56
M00595:42:000000000-A5J1T:1:1116:24324:12182;sample=PMRS0279.MID21-22.P2.apr13;size=1;,DBLa0.13,2.1e-55
M00595:42:000000000-A5J1T:1:2110:5341:12568;sample=PMRS0555.MID35-37.P1.apr13;size=1;,DBLa0.6,3.7e-48
M00595:42:000000000-A5J1T:1:1104:22016:9440;sample=PMRS0247.MID20-20.P1.apr13;size=2;,DBLa0.11,5.7e-60
M00595:42:000000000-A5J1T:1:2106:8721:13504;sample=PMRS0378.MID25-27.P1.apr13;size=1;,DBLa0.1,9.7e-57
M00595:42:000000000-A5J1T:1:1102:9543:10416;sample=PMRS0138.MID10-13.P2.apr13;size=1;,DBLa0.11,2.3e-58
M00595:42:000000000-A5J1T:1:2116:9387:13656;sample=PMRS0555.MID35-37.P1.apr13;size=2;,DBLa0.17,1.4e-52
M00595:42:000000000-A5J1T:1:2114:14041:23220;sample=PMRS0377.MID25-26.P2.apr13;size=1;,DBLa0.1,2e-56
M00595:42:000000000-A5J1T:1:2116:18239:11810;sample=PMRS0484.MID32-32.P2.apr13;size=1;,DBLa0.1,3.7e-62
M00595:42:000000000-A5J1T:1:2114:25283:14779;sample=PMRS0506.MID33-35.P2.apr13;size=1;,DBLa0.8,5.2e-53
M00595:42:000000000-A5J1T:1:1106:10228:13568;sample=PMRS0552.MID35-36.P1.apr13;size=1;,DBLa0.1,2.5e-53
M00595:42:000000000-A5J1T:1:1108:9216:20044;sample=PMRS0206.MID16-18.P2.apr13;size=1;,DBLa0.8,4e-44
M00595:42:000000000-A5J1T:1:1118:17701:2171;sample=PMRS0191.MID15-18.P1.apr13;size=3;,DBLa0.8,5.4e-55
M00595:42:000000000-A5J1T:1:1119:22945:17337;sample=PMRS0497.MID33-33.P2.apr13;size=6;,DBLa1.8,2.6e-52
